location,Basel
lat,47.54694
lon,7.56892
asl,283.697
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20100121T0400,4.8605285
20100121T0500,4.1005287
20100121T0600,3.3905284
20100121T0700,2.9505286
20100121T0800,2.3405285
20100121T0900,0.67052865
20100121T1000,0.60052866
20100121T1100,2.5305285
20100121T1200,5.2305284
20100121T1300,5.9405284
20100121T1400,6.3205285
20100121T1500,5.8405285
20100121T1600,5.6705284
20100121T1700,5.0105286
20100121T1800,4.6005287
20100121T1900,4.4105287
20100121T2000,4.2705283
20100121T2100,4.1205287
20100121T2200,3.8705285
20100121T2300,3.5505285
20100122T0000,3.2405286
20100122T0100,3.1005285
20100122T0200,2.8905284
20100122T0300,2.8805285
20100122T0400,2.9105287
20100122T0500,2.4205287
20100122T0600,0.18052867
20100122T0700,-0.41947132
20100122T0800,-0.43947133
20100122T0900,-0.40947133
20100122T1000,-0.40947133
20100122T1100,0.80052865
20100122T1200,2.5905285
20100122T1300,3.8205285
20100122T1400,4.7005286
20100122T1500,5.3905287
20100122T1600,5.8605285
20100122T1700,5.3605285
20100122T1800,4.0805287
20100122T1900,3.1905286
20100122T2000,2.5305285
20100122T2100,1.8005286
20100122T2200,1.2605287
20100122T2300,0.84052867
20100123T0000,0.33052868
20100123T0100,-0.4994713
20100123T0200,-0.96947134
20100123T0300,-1.3494713
20100123T0400,-1.9894713
20100123T0500,-1.8294713
20100123T0600,-2.2894714
20100123T0700,-2.5494714
20100123T0800,-2.7094715
20100123T0900,-2.7094715
20100123T1000,-2.0894713
20100123T1100,-0.9894713
20100123T1200,0.5705287
20100123T1300,2.3705285
20100123T1400,4.0505285
20100123T1500,5.4305286
20100123T1600,6.2105284
20100123T1700,6.4005284
20100123T1800,5.5605288
20100123T1900,4.1705284
20100123T2000,2.9705286
20100123T2100,2.1905286
20100123T2200,1.6105287
20100123T2300,1.2105286
20100124T0000,1.0005287
20100124T0100,0.9505287
20100124T0200,1.5505286
20100124T0300,2.1405284
20100124T0400,2.2705286
20100124T0500,2.2705286
20100124T0600,-0.42947134
20100124T0700,-0.23947135
20100124T0800,-0.13947135
20100124T0900,-0.019471344
20100124T1000,0.84052867
20100124T1100,2.4305286
20100124T1200,3.8405285
20100124T1300,4.6805286
20100124T1400,6.0505285
20100124T1500,7.0505285
20100124T1600,7.2505283
20100124T1700,6.8805285
20100124T1800,6.0005283
20100124T1900,5.1205287
20100124T2000,4.7105284
20100124T2100,4.5105286
20100124T2200,4.4405284
20100124T2300,4.4505286
20100125T0000,4.4105287
20100125T0100,4.4605284
20100125T0200,4.6705284
20100125T0300,4.7005286
20100125T0400,4.5105286
20100125T0500,2.9905286
20100125T0600,2.2605286
20100125T0700,1.7305287
20100125T0800,1.3205286
20100125T0900,1.1605287
20100125T1000,1.4705287
20100125T1100,2.0505285
20100125T1200,2.8405285
20100125T1300,3.5605285
20100125T1400,3.7205286
20100125T1500,4.1605287
20100125T1600,3.7905285
20100125T1700,3.5605285
20100125T1800,3.3805285
20100125T1900,2.4005284
20100125T2000,1.4905287
20100125T2100,0.84052867
20100125T2200,0.23052865
20100125T2300,-0.10947134
20100126T0000,-0.26947135
20100126T0100,-0.40947133
20100126T0200,-0.5494713
20100126T0300,-0.63947135
20100126T0400,-1.4694713
20100126T0500,-2.2794714
20100126T0600,-1.4594713
20100126T0700,-1.2094713
20100126T0800,-1.1894714
20100126T0900,-1.2494713
20100126T1000,-0.81947136
20100126T1100,0.030528657
20100126T1200,0.61052865
20100126T1300,0.79052866
20100126T1400,1.0605286
20100126T1500,0.9505287
20100126T1600,0.90052867
20100126T1700,2.0405285
20100126T1800,1.5305287
20100126T1900,0.97052866
20100126T2000,-0.65947133
20100126T2100,-1.0594714
